train_loss_A,val_loss_A,val_act_acc_A,val_id_acc_A,train_loss_B,val_loss_B,val_act_acc_B,val_id_acc_B,train_loss_C,val_loss_C,val_act_acc_C,val_id_acc_C,train_loss_D,val_loss_D,val_act_acc_D,val_id_acc_D,train_loss_E,val_loss_E,val_act_acc_E,val_id_acc_E,train_loss_F,val_loss_F,val_act_acc_F,val_id_acc_F,epoch
"[1.2664856169674847, 1.2239567073615822, 1.198788526895884, 1.174924966451284, 0.8853593694197165, 0.7140743345827669, 0.6710032933467144, 0.660070473277891, 0.6573384363909025, 0.6473722860619828, 0.6501993569167884, 0.6481354123837239, 0.6465974305127118, 0.6410374963605726, 0.6457738022546511, 0.6405374512479112, 0.6381622166246981, 0.638507716559075, 0.6377975384931307, 0.6364419879140081]","[1.2215187788009643, 1.1905049920082091, 1.2031182646751404, 1.0946951627731323, 0.8240662336349487, 0.7698722898960113, 0.7699191987514495, 0.7542321503162384, 0.7505873262882232, 0.7593000710010529, 0.7590717434883117, 0.7650102019309998, 0.7466264367103577, 0.7486403226852417, 0.7678645730018616, 0.745030301809311, 0.7475620150566101, 0.7590429127216339, 0.7538410186767578, 0.7415929973125458]","[0.6326530612244898, 0.6326530612244898, 0.6428571428571429, 0.6360544217687075, 0.5918367346938775, 0.5884353741496599, 0.6802721088435374, 0.5850340136054422, 0.5782312925170068, 0.5986394557823129, 0.6870748299319728, 0.5782312925170068, 0.5782312925170068, 0.6836734693877551, 0.5816326530612245, 0.5782312925170068, 0.5918367346938775, 0.5816326530612245, 0.5748299319727891, 0.6836734693877551]","[0.3741496598639456, 0.35034013605442177, 0.48299319727891155, 0.5408163265306123, 0.7380952380952381, 0.7312925170068028, 0.7040816326530612, 0.7448979591836735, 0.7482993197278912, 0.7551020408163265, 0.7551020408163265, 0.7482993197278912, 0.7653061224489796, 0.7721088435374149, 0.7687074829931972, 0.7619047619047619, 0.7312925170068028, 0.7312925170068028, 0.7687074829931972, 0.7380952380952381]",,,,,,,,,,,,,,,,,,,,,
,,,,"[1.1611207771945644, 0.8037610682281288, 0.7412883558788815, 0.7319216518788725, 0.7059182508571727, 0.6928133771226213, 0.6846761341030533, 0.6754489412178865, 0.6703555479242995, 0.6857500575684212, 0.6713503953572866, 0.6750933415180927, 0.6668014204179918, 0.6702819837106241, 0.6605588439348582, 0.6560941193554852, 0.6533622105379362, 0.6752548233882801, 0.6954159648031801, 0.65643023155831]","[0.8862021088600158, 0.7387647032737732, 0.7184711396694183, 0.6915831744670868, 0.6852273046970367, 0.6609615355730056, 0.6661100149154663, 0.6491625130176544, 0.7054224669933319, 0.6596695423126221, 0.6684916466474533, 0.6559369176626205, 0.6719551652669906, 0.6573705017566681, 0.6438966929912567, 0.6544245690107345, 0.6633804813027382, 0.7688508778810501, 0.6599791646003723, 0.6623354136943818]","[0.5238095238095238, 0.7074829931972789, 0.6258503401360545, 0.6292517006802721, 0.6462585034013606, 0.6292517006802721, 0.6870748299319728, 0.7074829931972789, 0.6462585034013606, 0.6666666666666666, 0.6394557823129252, 0.6768707482993197, 0.6292517006802721, 0.6598639455782312, 0.6666666666666666, 0.6428571428571429, 0.6496598639455783, 0.6190476190476191, 0.6632653061224489, 0.6598639455782312]","[0.6496598639455783, 0.6938775510204082, 0.7414965986394558, 0.7789115646258503, 0.7789115646258503, 0.8095238095238095, 0.7959183673469388, 0.7993197278911565, 0.7687074829931972, 0.7993197278911565, 0.7857142857142857, 0.7993197278911565, 0.8061224489795918, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095, 0.8061224489795918, 0.7687074829931972, 0.7959183673469388, 0.8163265306122449]",,,,,,,,,,,,,,,,,
,,,,,,,,"[1.214188752947627, 0.8863808464359593, 0.7080870270729065, 0.5758291184902191, 0.5255768524633871, 0.5867022396744909, 0.5062065728612848, 0.48061218696671565, 0.45981780338931727, 0.4442598924443528, 0.43106498267199544, 0.43255693606428197, 0.44083844729371974, 0.4385635023181503, 0.43246497737394796, 0.43124564193390513, 0.42461626070576747, 0.4217221736907959, 0.4146543016304841, 0.4205382023308728]","[1.0349272608757019, 0.8087489247322083, 0.68245889544487, 0.6798853218555451, 0.6036405056715012, 0.6021467298269272, 0.5765097171068192, 0.6019592463970185, 0.58243787586689, 0.5703449547290802, 0.5846219748258591, 0.6045270830392837, 0.583552798628807, 0.5970252394676209, 0.6110675275325775, 0.594156801700592, 0.5792818397283555, 0.5899657964706421, 0.6163669049739837, 0.5599259018898011]","[0.6258503401360545, 0.6632653061224489, 0.6870748299319728, 0.6904761904761905, 0.7006802721088435, 0.7006802721088435, 0.6972789115646258, 0.7040816326530612, 0.7006802721088435, 0.7142857142857143, 0.7006802721088435, 0.7006802721088435, 0.7040816326530612, 0.6972789115646258, 0.6870748299319728, 0.6938775510204082, 0.6904761904761905, 0.7074829931972789, 0.6904761904761905, 0.7210884353741497]","[0.6428571428571429, 0.8707482993197279, 0.9183673469387755, 0.9183673469387755, 0.9421768707482994, 0.9013605442176871, 0.9251700680272109, 0.9115646258503401, 0.9319727891156463, 0.9455782312925171, 0.9421768707482994, 0.9387755102040817, 0.9455782312925171, 0.9455782312925171, 0.9455782312925171, 0.9523809523809523, 0.9523809523809523, 0.9455782312925171, 0.9455782312925171, 0.9489795918367347]",,,,,,,,,,,,,
,,,,,,,,,,,,"[1.2704491486420502, 1.198227869497763, 1.0712368858827126, 0.8337583251901575, 0.7104836654018711, 0.673712661137452, 0.6616636498554332, 0.6513639833476093, 0.647934121054572, 0.6454230152271889, 0.6437867734883282, 0.6491984016186482, 0.6400859798934009, 0.6409529963055173, 0.6443805275736628, 0.6417096990185815, 0.6465773735497449, 0.6456567975314887, 0.6359076371064057, 0.6351012925843935]","[1.2366819500923156, 1.139524269104004, 1.0129705131053925, 0.7180660963058472, 0.6221646934747695, 0.6433123469352722, 0.6076372534036636, 0.6096393287181854, 0.600482314825058, 0.6004304170608521, 0.6094644725322723, 0.5987239092588424, 0.6066963464021683, 0.5964405328035355, 0.602826127409935, 0.6099443197250366, 0.6052180469036103, 0.5986193627119064, 0.6019102036952972, 0.601215410232544]","[0.5204081632653061, 0.717687074829932, 0.6700680272108843, 0.7380952380952381, 0.7380952380952381, 0.7346938775510204, 0.7312925170068028, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204, 0.7380952380952381, 0.7346938775510204, 0.7312925170068028, 0.7346938775510204, 0.7346938775510204, 0.7312925170068028, 0.7380952380952381, 0.7380952380952381, 0.7380952380952381, 0.7380952380952381]","[0.272108843537415, 0.5068027210884354, 0.5986394557823129, 0.7891156462585034, 0.8503401360544217, 0.8537414965986394, 0.8469387755102041, 0.8605442176870748, 0.8571428571428571, 0.8639455782312925, 0.8435374149659864, 0.8571428571428571, 0.8537414965986394, 0.8605442176870748, 0.8571428571428571, 0.8333333333333334, 0.8605442176870748, 0.8571428571428571, 0.8571428571428571, 0.8605442176870748]",,,,,,,,,
,,,,,,,,,,,,,,,,"[1.335694073019801, 0.7009888645764943, 0.5708247149312818, 0.4012430447178918, 0.30695175983615824, 0.2602694264134845, 0.23097689691427592, 0.21091048359065442, 0.20038797656023824, 0.196287868192067, 0.19308786225077268, 0.19049261067364667, 0.1914863962730443, 0.18931915389524923, 0.18701894138310407, 0.18742845338341352, 0.18984671259248578, 0.1850641966872924, 0.18224160232253978, 0.18549678081998955]","[0.9761830389499664, 0.7342171907424927, 0.5521042853593826, 0.4430233180522919, 0.34039872139692307, 0.2887662723660469, 0.26734988689422606, 0.26685472428798673, 0.2581714853644371, 0.24227555766701697, 0.2502317577600479, 0.23469165116548538, 0.24495483338832855, 0.2278865359723568, 0.235359850525856, 0.25127376094460485, 0.24056545421481132, 0.2346225507557392, 0.2302153617143631, 0.2355948157608509]","[0.54421768707483, 0.6258503401360545, 0.8333333333333334, 0.8469387755102041, 0.8707482993197279, 0.8741496598639455, 0.8877551020408163, 0.8741496598639455, 0.8639455782312925, 0.8877551020408163, 0.8775510204081632, 0.8775510204081632, 0.8809523809523809, 0.8809523809523809, 0.8741496598639455, 0.8809523809523809, 0.8809523809523809, 0.8877551020408163, 0.8809523809523809, 0.8877551020408163]","[0.9319727891156463, 0.9863945578231292, 0.9659863945578231, 0.9863945578231292, 0.9863945578231292, 0.9897959183673469, 0.9931972789115646, 0.9863945578231292, 0.9931972789115646, 0.9897959183673469, 0.9965986394557823, 0.9931972789115646, 0.9931972789115646, 0.9965986394557823, 0.9965986394557823, 0.9965986394557823, 0.9965986394557823, 0.9965986394557823, 0.9965986394557823, 0.9965986394557823]",,,,,
,,,,,,,,,,,,,,,,,,,,"[1.1838989853858948, 0.7990665709650194, 0.5137470316242527, 0.35560792604008234, 0.2735417114721762, 0.21879620709129283, 0.2091082527830794, 0.17495960883192113, 0.17639735592780886, 0.15974566370651527, 0.1450639391267622, 0.13788320828933973, 0.1405397537793662, 0.13748686297519788, 0.1334440894928333, 0.1267057165906236, 0.12469478152893684, 0.11937888288820112, 0.12061198317521327, 0.11713486597747416]","[0.9684552431106568, 0.631135207414627, 0.4159230440855026, 0.339222127199173, 0.2624177664518356, 0.23077594190835954, 0.2165992021560669, 0.19385153278708459, 0.20190318003296853, 0.18487506955862046, 0.20720295011997222, 0.192021806165576, 0.24291899651288987, 0.1895384430885315, 0.21093391068279743, 0.18426440022885798, 0.18603998199105262, 0.18038417287170888, 0.19130463451147078, 0.19729632660746574]","[0.7414965986394558, 0.7755102040816326, 0.8299319727891157, 0.8741496598639455, 0.9387755102040817, 0.9285714285714286, 0.9251700680272109, 0.9285714285714286, 0.9183673469387755, 0.9183673469387755, 0.9081632653061225, 0.9047619047619048, 0.8843537414965986, 0.9013605442176871, 0.9251700680272109, 0.9047619047619048, 0.9047619047619048, 0.9149659863945578, 0.9115646258503401, 0.9115646258503401]","[0.6598639455782312, 0.8877551020408163, 0.9693877551020408, 0.9931972789115646, 0.9863945578231292, 0.9897959183673469, 0.9897959183673469, 0.9897959183673469, 0.9863945578231292, 0.9897959183673469, 0.9863945578231292, 0.9931972789115646, 0.9931972789115646, 0.9931972789115646, 0.9863945578231292, 0.9931972789115646, 0.9897959183673469, 0.9931972789115646, 0.9897959183673469, 0.9931972789115646]",
1.2664856169674847,1.2215187788009643,0.6326530612244898,0.3741496598639456,1.1611207771945644,0.8862021088600158,0.5238095238095238,0.6496598639455783,1.214188752947627,1.0349272608757019,0.6258503401360545,0.6428571428571429,1.2704491486420502,1.2366819500923156,0.5204081632653061,0.272108843537415,1.335694073019801,0.9761830389499664,0.54421768707483,0.9319727891156463,1.1838989853858948,0.9684552431106568,0.7414965986394558,0.6598639455782312,1.0
1.2239567073615822,1.1905049920082091,0.6326530612244898,0.35034013605442177,0.8037610682281288,0.7387647032737732,0.7074829931972789,0.6938775510204082,0.8863808464359593,0.8087489247322083,0.6632653061224489,0.8707482993197279,1.198227869497763,1.139524269104004,0.717687074829932,0.5068027210884354,0.7009888645764943,0.7342171907424927,0.6258503401360545,0.9863945578231292,0.7990665709650194,0.631135207414627,0.7755102040816326,0.8877551020408163,2.0
1.198788526895884,1.2031182646751404,0.6428571428571429,0.48299319727891155,0.7412883558788815,0.7184711396694183,0.6258503401360545,0.7414965986394558,0.7080870270729065,0.68245889544487,0.6870748299319728,0.9183673469387755,1.0712368858827126,1.0129705131053925,0.6700680272108843,0.5986394557823129,0.5708247149312818,0.5521042853593826,0.8333333333333334,0.9659863945578231,0.5137470316242527,0.4159230440855026,0.8299319727891157,0.9693877551020408,3.0
1.174924966451284,1.0946951627731323,0.6360544217687075,0.5408163265306123,0.7319216518788725,0.6915831744670868,0.6292517006802721,0.7789115646258503,0.5758291184902191,0.6798853218555451,0.6904761904761905,0.9183673469387755,0.8337583251901575,0.7180660963058472,0.7380952380952381,0.7891156462585034,0.4012430447178918,0.4430233180522919,0.8469387755102041,0.9863945578231292,0.35560792604008234,0.339222127199173,0.8741496598639455,0.9931972789115646,4.0
0.8853593694197165,0.8240662336349487,0.5918367346938775,0.7380952380952381,0.7059182508571727,0.6852273046970367,0.6462585034013606,0.7789115646258503,0.5255768524633871,0.6036405056715012,0.7006802721088435,0.9421768707482994,0.7104836654018711,0.6221646934747695,0.7380952380952381,0.8503401360544217,0.30695175983615824,0.34039872139692307,0.8707482993197279,0.9863945578231292,0.2735417114721762,0.2624177664518356,0.9387755102040817,0.9863945578231292,5.0
0.7140743345827669,0.7698722898960113,0.5884353741496599,0.7312925170068028,0.6928133771226213,0.6609615355730056,0.6292517006802721,0.8095238095238095,0.5867022396744909,0.6021467298269272,0.7006802721088435,0.9013605442176871,0.673712661137452,0.6433123469352722,0.7346938775510204,0.8537414965986394,0.2602694264134845,0.2887662723660469,0.8741496598639455,0.9897959183673469,0.21879620709129283,0.23077594190835954,0.9285714285714286,0.9897959183673469,6.0
0.6710032933467144,0.7699191987514495,0.6802721088435374,0.7040816326530612,0.6846761341030533,0.6661100149154663,0.6870748299319728,0.7959183673469388,0.5062065728612848,0.5765097171068192,0.6972789115646258,0.9251700680272109,0.6616636498554332,0.6076372534036636,0.7312925170068028,0.8469387755102041,0.23097689691427592,0.26734988689422606,0.8877551020408163,0.9931972789115646,0.2091082527830794,0.2165992021560669,0.9251700680272109,0.9897959183673469,7.0
0.660070473277891,0.7542321503162384,0.5850340136054422,0.7448979591836735,0.6754489412178865,0.6491625130176544,0.7074829931972789,0.7993197278911565,0.48061218696671565,0.6019592463970185,0.7040816326530612,0.9115646258503401,0.6513639833476093,0.6096393287181854,0.7346938775510204,0.8605442176870748,0.21091048359065442,0.26685472428798673,0.8741496598639455,0.9863945578231292,0.17495960883192113,0.19385153278708459,0.9285714285714286,0.9897959183673469,8.0
0.6573384363909025,0.7505873262882232,0.5782312925170068,0.7482993197278912,0.6703555479242995,0.7054224669933319,0.6462585034013606,0.7687074829931972,0.45981780338931727,0.58243787586689,0.7006802721088435,0.9319727891156463,0.647934121054572,0.600482314825058,0.7346938775510204,0.8571428571428571,0.20038797656023824,0.2581714853644371,0.8639455782312925,0.9931972789115646,0.17639735592780886,0.20190318003296853,0.9183673469387755,0.9863945578231292,9.0
0.6473722860619828,0.7593000710010529,0.5986394557823129,0.7551020408163265,0.6857500575684212,0.6596695423126221,0.6666666666666666,0.7993197278911565,0.4442598924443528,0.5703449547290802,0.7142857142857143,0.9455782312925171,0.6454230152271889,0.6004304170608521,0.7346938775510204,0.8639455782312925,0.196287868192067,0.24227555766701697,0.8877551020408163,0.9897959183673469,0.15974566370651527,0.18487506955862046,0.9183673469387755,0.9897959183673469,10.0
0.6501993569167884,0.7590717434883117,0.6870748299319728,0.7551020408163265,0.6713503953572866,0.6684916466474533,0.6394557823129252,0.7857142857142857,0.43106498267199544,0.5846219748258591,0.7006802721088435,0.9421768707482994,0.6437867734883282,0.6094644725322723,0.7380952380952381,0.8435374149659864,0.19308786225077268,0.2502317577600479,0.8775510204081632,0.9965986394557823,0.1450639391267622,0.20720295011997222,0.9081632653061225,0.9863945578231292,11.0
0.6481354123837239,0.7650102019309998,0.5782312925170068,0.7482993197278912,0.6750933415180927,0.6559369176626205,0.6768707482993197,0.7993197278911565,0.43255693606428197,0.6045270830392837,0.7006802721088435,0.9387755102040817,0.6491984016186482,0.5987239092588424,0.7346938775510204,0.8571428571428571,0.19049261067364667,0.23469165116548538,0.8775510204081632,0.9931972789115646,0.13788320828933973,0.192021806165576,0.9047619047619048,0.9931972789115646,12.0
0.6465974305127118,0.7466264367103577,0.5782312925170068,0.7653061224489796,0.6668014204179918,0.6719551652669906,0.6292517006802721,0.8061224489795918,0.44083844729371974,0.583552798628807,0.7040816326530612,0.9455782312925171,0.6400859798934009,0.6066963464021683,0.7312925170068028,0.8537414965986394,0.1914863962730443,0.24495483338832855,0.8809523809523809,0.9931972789115646,0.1405397537793662,0.24291899651288987,0.8843537414965986,0.9931972789115646,13.0
0.6410374963605726,0.7486403226852417,0.6836734693877551,0.7721088435374149,0.6702819837106241,0.6573705017566681,0.6598639455782312,0.8095238095238095,0.4385635023181503,0.5970252394676209,0.6972789115646258,0.9455782312925171,0.6409529963055173,0.5964405328035355,0.7346938775510204,0.8605442176870748,0.18931915389524923,0.2278865359723568,0.8809523809523809,0.9965986394557823,0.13748686297519788,0.1895384430885315,0.9013605442176871,0.9931972789115646,14.0
0.6457738022546511,0.7678645730018616,0.5816326530612245,0.7687074829931972,0.6605588439348582,0.6438966929912567,0.6666666666666666,0.8095238095238095,0.43246497737394796,0.6110675275325775,0.6870748299319728,0.9455782312925171,0.6443805275736628,0.602826127409935,0.7346938775510204,0.8571428571428571,0.18701894138310407,0.235359850525856,0.8741496598639455,0.9965986394557823,0.1334440894928333,0.21093391068279743,0.9251700680272109,0.9863945578231292,15.0
0.6405374512479112,0.745030301809311,0.5782312925170068,0.7619047619047619,0.6560941193554852,0.6544245690107345,0.6428571428571429,0.8095238095238095,0.43124564193390513,0.594156801700592,0.6938775510204082,0.9523809523809523,0.6417096990185815,0.6099443197250366,0.7312925170068028,0.8333333333333334,0.18742845338341352,0.25127376094460485,0.8809523809523809,0.9965986394557823,0.1267057165906236,0.18426440022885798,0.9047619047619048,0.9931972789115646,16.0
0.6381622166246981,0.7475620150566101,0.5918367346938775,0.7312925170068028,0.6533622105379362,0.6633804813027382,0.6496598639455783,0.8061224489795918,0.42461626070576747,0.5792818397283555,0.6904761904761905,0.9523809523809523,0.6465773735497449,0.6052180469036103,0.7380952380952381,0.8605442176870748,0.18984671259248578,0.24056545421481132,0.8809523809523809,0.9965986394557823,0.12469478152893684,0.18603998199105262,0.9047619047619048,0.9897959183673469,17.0
0.638507716559075,0.7590429127216339,0.5816326530612245,0.7312925170068028,0.6752548233882801,0.7688508778810501,0.6190476190476191,0.7687074829931972,0.4217221736907959,0.5899657964706421,0.7074829931972789,0.9455782312925171,0.6456567975314887,0.5986193627119064,0.7380952380952381,0.8571428571428571,0.1850641966872924,0.2346225507557392,0.8877551020408163,0.9965986394557823,0.11937888288820112,0.18038417287170888,0.9149659863945578,0.9931972789115646,18.0
0.6377975384931307,0.7538410186767578,0.5748299319727891,0.7687074829931972,0.6954159648031801,0.6599791646003723,0.6632653061224489,0.7959183673469388,0.4146543016304841,0.6163669049739837,0.6904761904761905,0.9455782312925171,0.6359076371064057,0.6019102036952972,0.7380952380952381,0.8571428571428571,0.18224160232253978,0.2302153617143631,0.8809523809523809,0.9965986394557823,0.12061198317521327,0.19130463451147078,0.9115646258503401,0.9897959183673469,19.0
0.6364419879140081,0.7415929973125458,0.6836734693877551,0.7380952380952381,0.65643023155831,0.6623354136943818,0.6598639455782312,0.8163265306122449,0.4205382023308728,0.5599259018898011,0.7210884353741497,0.9489795918367347,0.6351012925843935,0.601215410232544,0.7380952380952381,0.8605442176870748,0.18549678081998955,0.2355948157608509,0.8877551020408163,0.9965986394557823,0.11713486597747416,0.19729632660746574,0.9115646258503401,0.9931972789115646,20.0
